Trial,Count,Voltage
1,6,860
2,4,860
3,8,860
4,10,860
5,9,860
6,6,860
7,7,860
8,12,860
9,5,860
10,8,860
11,11,860
12,4,860
13,9,860
14,9,860
15,8,860
16,7,860
17,7,860
18,14,860
19,9,860
20,5,860
21,8,860
22,16,860
23,7,860
24,9,860
25,5,860
26,10,860
27,5,860
28,10,860
29,8,860
30,7,860
31,15,860
32,8,860
33,11,860
34,9,860
35,8,860
36,14,860
37,5,860
38,9,860
39,8,860
40,10,860
41,9,860
42,6,860
43,9,860
44,9,860
45,9,860
46,6,860
47,12,860
48,5,860
49,6,860
50,8,860
51,6,860
52,7,860
53,4,860
54,9,860
55,7,860
56,9,860
57,6,860
58,7,860
59,7,860
60,7,860
61,8,860
62,3,860
63,11,860
64,9,860
65,8,860
66,11,860
67,8,860
68,14,860
69,4,860
70,10,860
71,6,860
72,6,860
73,11,860
74,6,860
75,13,860
76,7,860
77,7,860
78,6,860
79,6,860
80,5,860
81,13,860
82,10,860
83,10,860
84,7,860
85,8,860
86,7,860
87,14,860
88,10,860
89,6,860
90,9,860
91,5,860
92,9,860
93,11,860
94,7,860
95,4,860
96,6,860
97,6,860
98,4,860
99,11,860
100,10,860
